TranactionCode,TransactionDate,CancelDate,TransactonNumber,CheckNumber,Payee,ReferenceNumber,CurrencyCode,BankID,ReferenceNumber,OutstandingBalance,CanceledAmount
BRF – Brokerage fee,1/5/2012,1/22/2012,570880442,2,Service Charge,14259829,EUR,0421-0226-7,14259829,15045563.39,1385.55
CMS – Cash management item – Sweeping,1/9/2012,1/13/2012,618416046,9,Checking Costs,52237183,JPY,0515-0339-4,52237183,7663128.13,1997.9
TRF – Transfer,1/16/2012,2/5/2012,283735189,8,Misc.,44582973,EUR,0622-0398-4,44582973,14730703.54,3790.29
DIS – Securities Related Item – Gains disbursement,1/14/2012,1/19/2012,367627292,1,Service Charge,41541762,GBP,0622-0398-4,41541762,15779929,3153.64
STO – Standing order,1/20/2012,1/30/2012,955433370,4,Investment deposit,81297548,EUR,0550-0330-8,81297548,4903566.04,6036.14
INT – Interest,1/21/2012,2/14/2012,33270953,2,Investment deposit,33936947,USD,0642-0816-5,33936947,8041539.39,1654.32
VDA – Value date adjustment (used with an entry made to withdraw an incorrectly dated entry – it will be followed by the correct entry with the relevant code),1/25/2012,1/25/2012,567084588,9,Service Charge,47432728,USD,0622-0398-4,47432728,4044325.39,1029.19
TRF – Transfer,1/20/2012,2/1/2012,340311450,1,Transfer,35427983,JPY,0312-0471-0,35427983,3425654.57,4688.58
TRA – Securities Related Item – Internal transfer for own account,1/5/2012,1/22/2012,216731272,2,Replenishment,57187840,USD,0532-0160-7,57187840,10878066.52,543.03
TCM – Securities Related Item – Tripartite collateral management,1/11/2012,1/20/2012,38082687,2,Deposits,83092593,JPY,0550-0330-8,83092593,4027878.8,1825.04
SEC – Securities (used when entering a principal amount),1/23/2012,2/21/2012,899026290,9,Checking Costs,30950976,USD,0421-0226-7,30950976,16274100.35,1749.08
CPN – Securities Related Item – Coupon payments,1/26/2012,2/11/2012,748257417,3,Checking Costs,77529181,EUR,0550-0330-8,77529181,12727357.89,3926.12
TRF – Transfer,1/28/2012,2/5/2012,70888524,2,Investment deposit,68960138,JPY,0312-0471-0,68960138,6241097.7,5077.19
DIV – Securities Related Item – Dividends,1/26/2012,2/15/2012,992468377,8,Deposits,15642459,USD,0531-0112-1,15642459,15627798.59,6282.75
CMP – Compensation claims,1/8/2012,1/28/2012,153069362,1,Investment deposit,73707857,JPY,0540-0154-7,73707857,10840792.98,4198.77
TRA – Securities Related Item – Internal transfer for own account,1/20/2012,1/21/2012,32383539,4,Deposits,97780342,USD,0313-0912-3,97780342,17028949.76,561.71
NWI – Securities Related Item – New issues distribution,1/17/2012,2/8/2012,938687820,2,Investment deposit,27439342,USD,0532-0160-7,27439342,17959727.07,1544.25
VDA – Value date adjustment (used with an entry made to withdraw an incorrectly dated entry – it will be followed by the correct entry with the relevant code),1/15/2012,2/5/2012,759283932,1,Citibank,24869833,JPY,0515-0339-4,24869833,581599.15,4391.21
SEC – Securities (used when entering a principal amount),1/26/2012,1/30/2012,421020727,6,Checking Costs,50097180,JPY,0515-0339-4,50097180,2647720.43,3114.08
INT – Interest,1/2/2012,1/17/2012,251026031,3,Citibank,28723265,EUR,0312-0471-0,28723265,2115470.91,1594.03
REC – Securities Related Item – Tax reclaim,1/4/2012,1/5/2012,953524851,3,Checking Costs,46657999,GBP,0839-7428-9,46657999,12828336.85,2505.16
STP – Securities Related Item – Stamp duty,1/16/2012,1/21/2012,331805745,8,Citibank,23317316,JPY,0532-0160-7,23317316,18251784.72,870.32
SEC – Securities (used when entering a principal amount),1/6/2012,2/1/2012,298342625,1,Investment deposit,9611791,JPY,0550-0330-8,9611791,11838590.81,203.34
REC – Securities Related Item – Tax reclaim,1/25/2012,2/16/2012,216950013,4,Other,38267301,GBP,0540-0154-7,38267301,17521829,1084.2
CPN – Securities Related Item – Coupon payments,1/7/2012,1/20/2012,594963091,9,Citibank,80592431,USD,0532-0160-7,80592431,7527284.63,852.94
CMZ – Cash management item – Zero balancing,1/11/2012,1/16/2012,919397953,4,Replenishment,43436174,EUR,0312-0471-0,43436174,18084184.19,5976.39
TCM – Securities Related Item – Tripartite collateral management,1/29/2012,2/9/2012,538323135,7,Replenishment,15458354,USD,0622-0398-4,15458354,5015186.52,1089.63
BOE – Bill of exchange,1/30/2012,2/16/2012,719889008,5,Checking Costs,70212896,EUR,0312-0471-0,70212896,8097592.15,1546.23
PCH – Securities Related Item – Purchase (including STIF and Time deposits),1/8/2012,2/2/2012,630157302,4,Other,29229563,JPY,0611-1341-5,29229563,15453407.76,432.77
CMP – Compensation claims,1/9/2012,1/14/2012,601860340,1,Replenishment,92060045,JPY,0611-1341-5,92060045,7058010.89,2930.49
FEX – Foreign exchange,1/22/2012,2/16/2012,168411131,7,Transfer,47456912,GBP,0421-0226-7,47456912,6814190.93,2889.08
SAL – Securities Related Item – Sale (including STIF and Time deposits),1/1/2012,1/3/2012,543391955,2,Misc.,95478830,JPY,0839-0068-0,95478830,5654747.98,6328.47
SUB – Securities Related Item – Subscription,1/2/2012,1/26/2012,709503395,7,Deposits,2893583,USD,0611-1341-5,2893583,9437024.8,298.21
TRF – Transfer,1/11/2012,1/13/2012,696482749,8,Checking Costs,32735067,EUR,0421-0226-7,32735067,311858,5568.97
SEC – Securities (used when entering a principal amount),1/23/2012,1/25/2012,153706608,9,Citibank,30725534,JPY,0611-1341-5,30725534,13364096.89,119.41
SUB – Securities Related Item – Subscription,1/30/2012,1/30/2012,709543782,1,Misc.,24781074,GBP,0532-0160-7,24781074,4511003.81,3786.95
CMZ – Cash management item – Zero balancing,1/29/2012,2/7/2012,413558972,5,Checking Costs,95148103,GBP,0540-0154-7,95148103,17326836.63,1409.79
LBX – Lock box,1/17/2012,1/22/2012,421668852,8,Investment deposit,60326098,GBP,0313-0912-3,60326098,18178016.81,5061.09
CMN – Cash management item – Notional pooling,1/2/2012,1/21/2012,979458966,6,Replenishment,9207607,GBP,0312-0471-0,9207607,16291348.35,1252.77
BOE – Bill of exchange,1/13/2012,2/2/2012,478560020,9,Replenishment,78772880,GBP,0531-0112-1,78772880,14047336.46,6397.67
STP – Securities Related Item – Stamp duty,1/30/2012,2/21/2012,872101713,7,Checking Costs,14125645,JPY,0839-0068-0,14125645,3635557.43,3588.4
CMS – Cash management item – Sweeping,1/19/2012,2/3/2012,444204129,7,Replenishment,41893113,USD,0622-0398-4,41893113,11296646.52,3300.3
CMT – Cash management item -Topping,1/6/2012,1/8/2012,962233499,7,Deposits,49464674,USD,0515-0339-4,49464674,6378912.89,3151.37
PCH – Securities Related Item – Purchase (including STIF and Time deposits),1/11/2012,2/1/2012,866858488,4,Other,2662067,GBP,0839-0068-0,2662067,10236094.7,6102.14
CAS – Securities Related Item – Cash in Lieu,1/29/2012,2/26/2012,138270320,2,Checking Costs,87075063,EUR,0531-0112-1,87075063,5418801.56,6083.44
DIV – Securities Related Item – Dividends,1/28/2012,2/25/2012,541072539,2,Investment deposit,84221900,USD,0550-0330-8,84221900,8905393.33,1812.58
PRN – Securities Related Item – Principal pay-down/pay-up,1/8/2012,1/29/2012,586421789,2,Misc.,90560080,USD,2631-9138-7,90560080,14587268.59,3940.7
TCK – Travellers cheques,1/3/2012,1/23/2012,493851926,9,Checking Costs,79344765,USD,0531-0112-1,79344765,2500592.52,2274.69
EQA – Equivalent amount,1/10/2012,1/11/2012,856387710,2,Deposits,25442729,USD,0550-0330-8,25442729,309042.41,518.71
DDT – Direct Debit Item,1/19/2012,1/19/2012,262480102,8,Transfer,50550459,USD,0622-0398-4,50550459,4534539.89,769.25
TCK – Travellers cheques,1/2/2012,1/4/2012,434650480,8,Checking Costs,94275173,GBP,0421-0226-7,94275173,10273739.33,1440.75
NWI – Securities Related Item – New issues distribution,1/3/2012,1/26/2012,977603736,3,Service Charge,72145936,EUR,0611-1341-5,72145936,18099563.98,103.35
FEX – Foreign exchange,1/9/2012,2/1/2012,281787300,2,Deposits,96164000,JPY,0540-0154-7,96164000,7437610.2,1398.86
CAS – Securities Related Item – Cash in Lieu,1/17/2012,2/14/2012,204415807,9,Citibank,95793587,GBP,0421-0226-7,95793587,7987717.7,3693.25
TRF – Transfer,1/19/2012,1/29/2012,699967097,8,Other,95023847,GBP,0839-0068-0,95023847,13025318.63,1305.99
RTI – Returned item,1/24/2012,2/7/2012,343160944,8,Misc.,47898731,JPY,0839-0068-0,47898731,1052575.87,1199.42
DCR – Documentary credit (used when entering a principal amount),1/1/2012,1/1/2012,312437309,7,Transfer,42921268,GBP,0312-0471-0,42921268,7956168.09,5263.82
WAR – Securities Related Item – Warrant,1/20/2012,1/30/2012,121614538,9,Citibank,29996748,USD,0642-0816-5,29996748,14827572.09,3827.18
VDA – Value date adjustment (used with an entry made to withdraw an incorrectly dated entry – it will be followed by the correct entry with the relevant code),1/29/2012,2/3/2012,965015859,5,Other,2897101,EUR,0839-0068-0,2897101,17342157.19,3638.58
BRF – Brokerage fee,1/10/2012,1/23/2012,407980427,3,Investment deposit,87758017,GBP,0313-0912-3,87758017,6513752.09,3555.66
BOE – Bill of exchange,1/23/2012,1/27/2012,712878334,9,Checking Costs,36480463,EUR,0532-0160-7,36480463,18209645,3194.27
TRN – Securities Related Item – Transaction fee,1/4/2012,1/5/2012,396782458,2,Citibank,44082452,GBP,0531-0112-1,44082452,5049868.96,327.88
WAR – Securities Related Item – Warrant,1/16/2012,1/25/2012,351846238,3,Other,97220840,JPY,0611-1341-5,97220840,13654088.98,1116.06
OPT – Securities Related Item – Options,1/2/2012,1/15/2012,642280636,6,Investment deposit,71444597,GBP,1110-1769-4,71444597,17169062.61,235.66
SUB – Securities Related Item – Subscription,1/7/2012,1/20/2012,525329141,4,Investment deposit,56314558,GBP,0611-1341-5,56314558,2936650.85,4058.52
COM – Commission,1/2/2012,1/2/2012,884725626,8,Replenishment,41890838,JPY,0312-0471-0,41890838,14188095.15,956.52
SLE – Securities Related Item – Securities lending related,1/1/2012,1/5/2012,367982004,5,Deposits,95400596,USD,1110-1769-4,95400596,16340844.46,914.63
DDT – Direct Debit Item,1/12/2012,2/1/2012,949514710,7,Other,99413917,JPY,0532-0160-7,99413917,12615986.06,345.21
CHK – Cheques,1/24/2012,2/1/2012,133788202,9,Investment deposit,64872542,JPY,0839-0068-0,64872542,4483981.54,99999
DCR – Documentary credit (used when entering a principal amount),1/10/2012,2/3/2012,339547226,7,Other,42298870,EUR,0532-0160-7,42298870,12780845.28,4779.01
ODC – Overdraft charge,1/30/2012,2/24/2012,26240089,9,Transfer,88917551,EUR,0312-0471-0,88917551,17999830.24,2847.79
SUB – Securities Related Item – Subscription,1/24/2012,2/3/2012,28611936,5,Other,45183425,JPY,0531-0112-1,45183425,5999926.85,4845.52
REC – Securities Related Item – Tax reclaim,1/6/2012,1/27/2012,205417671,10,Service Charge,69692873,EUR,0312-0471-0,69692873,15266931.09,1514.66
CAR – Securities Related Item – Corporate Actions Related (Should only be used when no specific corporate action event code is available),1/16/2012,2/3/2012,517014285,7,Misc.,21710487,USD,0839-0068-0,21710487,6004377.87,209.51
CHK – Cheques,1/4/2012,1/21/2012,625483645,7,Investment deposit,7558039,JPY,0421-0226-7,7558039,16876740.81,99999
TRA – Securities Related Item – Internal transfer for own account,1/28/2012,2/19/2012,203631407,4,Misc.,31032039,JPY,0839-7428-9,31032039,15067877.65,5862.07
CLR – Cash letters/Cheques remittance,1/11/2012,2/5/2012,65601068,9,Transfer,93907602,USD,2631-9138-7,93907602,14233668.48,3928.08
SUB – Securities Related Item – Subscription,1/7/2012,1/7/2012,998965215,9,Replenishment,8789773,JPY,0514-0426-0,8789773,10594288.83,130.97
CAS – Securities Related Item – Cash in Lieu,1/24/2012,2/10/2012,266836451,8,Misc.,38254190,JPY,0531-0112-1,38254190,6415204.65,5466.73
CAS – Securities Related Item – Cash in Lieu,1/30/2012,2/10/2012,848706748,2,Deposits,74456053,GBP,0622-0398-4,74456053,16321109.17,4006.27
LDP – Loan deposit,1/3/2012,1/18/2012,951258497,5,Checking Costs,82192268,USD,0531-0112-1,82192268,16540600.41,6429.6
STP – Securities Related Item – Stamp duty,1/8/2012,1/31/2012,258843849,7,Transfer,1384794,USD,0421-0226-7,1384794,10435371.15,1849.68
CAS – Securities Related Item – Cash in Lieu,1/14/2012,2/6/2012,19484534,5,Citibank,50806933,EUR,0532-0160-7,50806933,14331441.28,5687.4
CMN – Cash management item – Notional pooling,1/29/2012,2/24/2012,792155252,6,Transfer,7612688,USD,0514-0426-0,7612688,5237886.43,293.83
CMS – Cash management item – Sweeping,1/30/2012,2/12/2012,543807125,1,Investment deposit,73645591,EUR,1110-1769-4,73645591,8307120.11,66.69
STO – Standing order,1/29/2012,2/20/2012,285527981,1,Deposits,99047757,EUR,0540-0154-7,99047757,2760628.57,4370.11
CHG – Charges and other expenses,1/4/2012,1/8/2012,64322842,2,Investment deposit,13702165,JPY,0550-0330-8,13702165,12927668.93,2849.6
PCH – Securities Related Item – Purchase (including STIF and Time deposits),1/23/2012,2/15/2012,786141292,4,Misc.,24421003,JPY,0514-0426-0,24421003,6901222.19,4879.3
RTI – Returned item,1/14/2012,1/30/2012,867676943,2,Deposits,98107133,USD,0611-1341-5,98107133,1231823.26,4701.93
EXT – Securities Related Item – External transfer for own account,1/12/2012,1/17/2012,960551079,6,Transfer,36412988,USD,0611-1341-5,36412988,15036943.56,2115.38
WAR – Securities Related Item – Warrant,1/19/2012,2/6/2012,331811257,6,Deposits,45200123,EUR,0540-0154-7,45200123,4031616.72,2115.56
RTI – Returned item,1/1/2012,1/10/2012,866757396,5,Checking Costs,86660224,GBP,0839-7428-9,86660224,3846319.33,3927.05
BNK – Securities Related Item – Bank fees,1/15/2012,1/16/2012,551297629,9,Other,55459346,GBP,0642-0816-5,55459346,12855906.07,2591.27
DDT – Direct Debit Item,1/23/2012,1/30/2012,764927828,9,Investment deposit,78727453,USD,0550-0330-8,78727453,12747846.5,4307.92
CAS – Securities Related Item – Cash in Lieu,1/14/2012,1/19/2012,305792126,2,Deposits,73428423,USD,2631-9138-7,73428423,11855470.13,3793.95
CMN – Cash management item – Notional pooling,1/19/2012,1/31/2012,616177582,4,Service Charge,95937003,EUR,0540-0154-7,95937003,14795403.89,1857.23
STP – Securities Related Item – Stamp duty,1/13/2012,1/29/2012,393283524,6,Checking Costs,26821398,JPY,0421-0226-7,26821398,10212319.11,756.72
BOE – Bill of exchange,1/17/2012,1/29/2012,520675837,5,Other,66343235,JPY,0611-1341-5,66343235,14624573.57,662.23
POP – Securities Related Item – Pair-off proceeds,1/17/2012,1/18/2012,660456994,4,Service Charge,95847012,EUR,0540-0154-7,95847012,4291831.57,164.24
FEX – Foreign exchange,1/24/2012,2/17/2012,641115453,9,Other,81316803,EUR,0550-0330-8,81316803,6047888.52,6356.55
SAL – Securities Related Item – Sale (including STIF and Time deposits),1/17/2012,1/17/2012,373909230,8,Citibank,32623989,USD,1110-1769-4,32623989,11544084.33,1984.56
BOE – Bill of exchange,1/20/2012,2/18/2012,505231107,3,Misc.,80881959,EUR,2631-9138-7,80881959,13621029.65,3632.36
BOE – Bill of exchange,1/3/2012,1/27/2012,445902289,8,Service Charge,56139420,GBP,1110-1769-4,56139420,2938528.46,6175.02
PCH – Securities Related Item – Purchase (including STIF and Time deposits),1/18/2012,2/5/2012,551142475,2,Investment deposit,68445119,EUR,0514-0426-0,68445119,789417.65,5299.06
LDP – Loan deposit,1/15/2012,1/19/2012,985530325,2,Investment deposit,58076448,EUR,0515-0339-4,58076448,1889945.41,4230.82
BNK – Securities Related Item – Bank fees,1/5/2012,1/8/2012,16829539,1,Checking Costs,77958763,EUR,0515-0339-4,77958763,14013236.87,63.16
CMP – Compensation claims,1/21/2012,1/27/2012,950266448,8,Deposits,50998175,GBP,0313-0912-3,50998175,2274364.98,1469.16
COM – Commission,1/25/2012,2/10/2012,410409437,1,Service Charge,95122847,JPY,0839-0068-0,95122847,5831219.98,4938.84
WAR – Securities Related Item – Warrant,1/18/2012,2/9/2012,283927696,8,Investment deposit,10335003,GBP,1110-1769-4,10335003,14891970.04,4988.49
