SupplierID,AssemblyID,WharehouseID,StoreID,ProductID,OrderNumber,CustomerOrderDate,CustomerDeliveryDate,FullfillmentTime,DaysFromSupplierToAssembly,             DaysFromAssemblyToWharehouse, DaysFromWharehouseToStore
1,1,1,1,3,10000123,9/26/2016,10/30/2016,34,30,2,2
1,1,1,1,1,10000124,3/15/2016,10/8/2016,207,203,2,2
2,1,1,1,2,10000125,3/11/2016,12/7/2016,271,88,180,3
1,1,1,1,1,10000126,2/24/2016,11/21/2016,271,267,2,2
2,2,1,1,3,10000127,10/31/2016,11/3/2016,3,0,0,3
1,2,1,1,2,10000128,11/21/2016,12/18/2016,27,23,2,2
1,2,1,1,3,10000129,5/17/2016,7/2/2016,46,42,2,2
3,2,1,1,1,10000130,4/9/2016,9/25/2016,169,141,25,3
3,2,1,1,2,10000131,10/23/2016,12/13/2016,51,20,28,3
2,1,1,1,1,10000132,5/2/2016,11/15/2016,197,21,173,3
2,2,1,1,1,10000133,1/1/2016,4/3/2016,93,41,49,3
1,1,1,1,2,10000134,7/24/2016,7/31/2016,7,3,2,2
2,1,1,1,3,10000135,5/9/2016,12/1/2016,206,36,167,3
2,2,1,1,2,10000136,2/29/2016,5/23/2016,84,13,68,3
2,1,1,1,1,10000137,12/16/2016,12/22/2016,6,2,1,3
3,1,1,1,2,10000138,4/30/2016,8/31/2016,123,66,54,3
2,2,1,1,2,10000139,12/24/2016,12/24/2016,0,0,0,0
2,1,1,1,1,10000140,1/19/2016,2/28/2016,40,26,11,3
1,2,1,1,3,10000141,7/9/2016,12/12/2016,156,152,2,2
1,2,1,1,1,10000142,2/26/2016,2/27/2016,1,0,0,1
1,1,1,1,1,10000143,4/9/2016,7/29/2016,111,107,2,2
1,1,1,1,1,10000144,7/2/2016,11/25/2016,146,142,2,2
2,2,1,1,1,10000145,5/7/2016,11/21/2016,198,150,45,3
3,2,1,1,1,10000146,6/17/2016,7/12/2016,25,18,4,3
1,1,1,1,1,10000147,5/22/2016,8/31/2016,101,97,2,2
3,1,1,1,1,10000148,5/11/2016,7/9/2016,59,25,31,3
1,1,1,1,3,10000149,11/7/2016,12/12/2016,35,31,2,2
2,2,1,1,1,10000150,3/28/2016,4/18/2016,21,10,8,3
3,2,1,1,2,10000151,9/27/2016,11/14/2016,48,10,35,3
3,2,1,1,2,10000152,7/24/2016,12/29/2016,158,152,3,3
2,1,1,1,2,10000153,2/10/2016,10/8/2016,241,163,75,3
1,2,1,1,3,10000154,3/22/2016,6/2/2016,72,68,2,2
3,2,1,1,1,10000155,2/18/2016,6/21/2016,124,0,121,3
1,1,1,1,1,10000156,6/5/2016,11/9/2016,157,153,2,2
1,2,1,1,3,10000157,11/18/2016,12/6/2016,18,14,2,2
2,1,1,1,3,10000158,2/19/2016,12/3/2016,288,245,40,3
1,1,1,1,3,10000159,8/8/2016,11/26/2016,110,106,2,2
2,2,1,1,1,10000160,7/18/2016,12/26/2016,161,3,155,3
2,1,1,1,2,10000161,12/11/2016,12/19/2016,8,3,2,3
2,2,1,1,3,10000162,2/25/2016,8/12/2016,169,123,43,3
2,2,1,1,3,10000163,7/30/2016,8/19/2016,20,6,11,3
2,2,1,1,3,10000164,5/19/2016,10/19/2016,153,52,98,3
3,1,1,1,2,10000165,5/25/2016,12/10/2016,199,132,64,3
2,1,1,1,3,10000166,4/3/2016,10/1/2016,181,122,56,3
1,2,1,1,2,10000167,10/27/2016,11/10/2016,14,10,2,2
3,1,1,1,1,10000168,8/8/2016,8/28/2016,20,7,10,3
3,1,1,1,3,10000169,8/10/2016,9/7/2016,28,4,21,3
3,2,1,1,1,10000170,9/19/2016,12/26/2016,98,77,18,3
1,1,1,1,3,10000171,9/29/2016,12/5/2016,67,63,2,2
2,2,1,1,1,10000172,4/22/2016,5/17/2016,25,9,13,3
