RunDate,PickupLocation,DropoffLocation,Primary,Seconday,VehicleType,EventType,Overnight,TipGrade, CustomerType, Guide, Issues, TypeOfPayment
4/3/10,Boswell,McVeytown,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Hummer Limo ,Holiday ,No ,High ,Individual - New ,No ,Driver Error or Miscalculation ,Cash
10/8/7,New Paris,Cassandra,Kennywood Park ,Kennywood Park ,Ford Excursion ,Anniversary ,No ,Medium ,School District - Existing ,No ,Weather ,Check
5/8/9,Adams,Gilberton,Hershey park ,Hershey park ,Sedan ,Anniversary ,Yes ,Medium ,Corporate - Existing ,No , ,Personal Credit Card
8/10/4,Fairview,Cassandra,Sesame Place ,Sesame Place ,Church Bus ,Cruise ,No ,Medium ,Religous - Existing ,Yes ,Accident ,Credit
5/7/6,McVeytown,Fairview,Gettysburg ,Gettysburg ,Mini Van ,Holiday ,No ,None ,Religous - New ,No ,Health Related ,Check
7/10/5,McVeytown,Adams,Philadelphia Zoo ,Philadelphia Zoo ,Min Bus ,Anniversary ,No ,Medium ,Religous - Existing ,Yes ,Health Related ,Check
2/6/11,Adams,Jefferson,Waldameer and Water World ,Waldameer and Water World ,Towne Car ,Cruise ,No ,Low ,School District - Existing ,No ,Driver Error or Miscalculation ,Invoiced
10/11/9,Big Run,Cassandra,Philadelphia Zoo ,Philadelphia Zoo ,Church Bus ,Funeral ,No ,None ,Individual - Existing ,Yes ,Personal ,Check
10/2/6,Cassandra,East Brady,Gettysburg ,Gettysburg ,Sedan ,Holiday ,No ,Low ,Corporate - Existing ,No ,Moving or Traffic Violation ,Personal Credit Card
9/9/8,McVeytown,Boswell,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Van ,Holiday ,Yes ,High ,School District - Existing ,Yes ,Personal ,Check
4/12/5,Gilberton,East Brady,Philadelphia Zoo ,Philadelphia Zoo ,Van ,Anniversary ,Yes ,Medium ,School District - Existing ,Yes ,Accident ,Cash
5/2/10,East Brady,Cassandra,Dutch Wonderland ,Dutch Wonderland ,Min Bus ,Cruise ,No ,High ,School District - Existing ,Yes ,Health Related ,Rewards
10/11/12,East Brady,Big Run,Liberty Bell ,Liberty Bell ,Hummer Limo ,Funeral ,No ,Low ,School District - Existing ,No ,Driver Error or Miscalculation ,Personal Credit Card
10/8/8,Boswell,McVeytown,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Stretch ,Anniversary ,No ,High ,Individual - New ,Yes ,Weather ,Invoiced
2/6/11,Boswell,McVeytown,lost river caverns ,lost river caverns ,Ford Excursion ,Cruise ,No ,Medium ,School District - New ,No ,Driver Error or Miscalculation ,Rewards
3/9/4,New Paris,Liverpool,Waldameer and Water World ,Waldameer and Water World ,Ford Excursion ,Cruise ,No ,Medium ,Religous - New ,Yes ,Weather ,Invoiced
