Session ID,DateTime Stamp,IP Address,Advertisement ID Viewed,Product ID Viewed,Information Link ID Viewed,Product ID Added to Cart,Product ID Purchased,Payment Method,User Has Account,First Time Buyer,Repeat Buyer,Coupon Used,Mobile Device Used,Dollar Amount,Dollar Amount Sold,Sex,Age Range,Married,Ethnic,Employed,Student,Education,Income Range,Gift Card Used,Purchased as Gift,Occupation,Own Home,Hobby/Interest,Health
0000000001,8/27/2018 10:09,10.1.1.1,Matcha Powder,Enamel pins,Contact Us,Bluetooth speakers,Phone power banks,Debit,NO,NO,NO,NO,YES,23.00,463.00,Male,65-74 years old,Married or domestic partnership,White and European Americans,YES,YES,,150001 to 200000,NO,NO,Service,YES,Other,Health
0000000001,8/27/2018 10:09,10.1.2.1,Drones,Phone power banks,Contact Us,Liquid phone cases,Phone power banks,Debit,NO,YES,YES,YES,YES,629.00,94.00,Female,65-74 years old,Separated,Hispanic and Latino Americans,NO,YES,Trade/technical/vocational training,0 - 30000,YES,YES,Management professional and related,YES,Outdoor gardening,Health
0000000001,8/27/2018 10:09,10.1.3.1,Bluetooth speakers,The charcoal face mask,Help,Waterproof phone cases,Drones,MasterCard,NO,YES,NO,YES,YES,345.00,318.00,Male,75 years or older,Separated,Native Americans and Alaska Natives,NO,NO,Doctorate degree,150001 to 200000,YES,YES,Natural resources construction and maintenance,YES,Bible/devotional reading,Health
0000000001,8/27/2018 10:09,10.1.4.1,The charcoal face mask,Drones,Contact Us,The charcoal face mask,Enamel pins,Debit,YES,NO,YES,YES,NO,692.00,589.00,Male,75 years or older,Widowed,Native Hawaiians and other Pacific Islanders,NO,NO,Master’s degree,50001 to 75000,YES,YES,Service,NO,Video cassette recordings,Health
0000000001,8/27/2018 10:09,10.1.5.1,The charcoal face mask,Welcome,Mission,Waterproof phone cases,Waterproof phone cases,PayPal,NO,NO,NO,NO,NO,654.00,3.00,Female,55-64 years old,Separated,Native Americans and Alaska Natives,NO,NO,Some high school no diploma,0 - 30000,NO,YES,Management professional and related,NO,Book reading,Health
0000000001,8/27/2018 10:09,10.1.6.1,Enamel pins,Enamel pins,Your Orders,Gluten-free products,Mens fashion accessories,PayPal,YES,YES,YES,NO,YES,288.00,781.00,Male,12-17 years old,Widowed,White and European Americans,NO,YES,Associate degree,30001 to 50000,NO,YES,Service,YES,Fashion clothing,Health
0000000001,8/27/2018 10:09,10.1.7.1,Fairy lights,Coconut oil,Shipping,Drones,Phone power banks,Visa,NO,YES,NO,YES,NO,272.00,812.00,Female,12-17 years old,Married or domestic partnership,White and European Americans,YES,YES,Nursery school to 8th grade,75001 to 100000,YES,YES,Sales and office,NO,Compact discs,Health
0000000001,8/27/2018 10:09,10.1.8.1,3D printers,Liquid phone cases,Cart,The charcoal face mask,Bluetooth speakers,PayPal,NO,YES,NO,NO,NO,575.00,978.00,Male,Under 12 years old,Single never married,White and European Americans,NO,NO,Bachelor’s degree,75001 to 100000,YES,YES,Production transportation and material moving,NO,Wildlife/environment issues,Health
0000000001,8/27/2018 10:09,10.1.9.1,Fairy lights,Fairy lights,Returns,Drones,Mens fashion accessories,Gift Card,NO,YES,YES,NO,NO,221.00,249.00,Female,35-44 years old,Widowed,Native Hawaiians and other Pacific Islanders,YES,YES,Some high school no diploma,150001 to 200000,NO,YES,Management professional and related,YES,Other,Health
0000000001,8/27/2018 10:09,10.1.10.1,Bluetooth speakers,Baby products,Your Orders,Liquid phone cases,3D printers,Visa,YES,NO,YES,YES,NO,110.00,997.00,Female,65-74 years old,Single never married,White and European Americans,NO,YES,Master’s degree,75001 to 100000,YES,NO,Natural resources construction and maintenance,NO,Coin/stamp collecting,Health
0000000001,8/27/2018 10:09,10.1.11.1,Liquid phone cases,Phone power banks,About,3D printers,Bluetooth speakers,MasterCard,YES,NO,NO,NO,YES,123.00,636.00,Female,25-34 years old,Separated,Middle Easterners and North Africans,NO,NO,Master’s degree,200001 and above,NO,YES,Service,YES,Do-it-Yourself/workshop,Health
