Session ID,DateTime Stamp,IP Address,Advertisement ID Viewed,Product ID Viewed,Information Link ID Viewed,Product ID Added to Cart,Product ID Purchased,Payment Method,User Has Account,First Time Buyer,Repeat Buyer,Coupon Used,Mobile Device Used,Dollar Amount,Dollar Amount Sold,Sex,Age Range,Married,Ethnic,Employed,Student,Education,Income Range,Gift Card Used,Purchased as Gift,Occupation,Own Home,Hobby/Interest,Health
4047,8/27/2018 10:09,10.1.1.1,13,16,8,6,2,5,1,1,1,2,1,889,748,1,7,4,5,1,1,10,7,1,1,5,1,20,
1881,8/27/2018 10:09,10.1.2.1,11,16,11,9,9,5,1,2,1,1,1,644,80,1,6,3,1,1,2,8,3,2,1,5,1,14,
1101,8/27/2018 10:09,10.1.3.1,9,17,9,1,8,4,2,2,1,2,2,910,63,1,2,2,1,2,1,4,6,1,2,5,1,10,
8797,8/27/2018 10:09,10.1.4.1,2,15,8,6,13,5,2,2,2,1,2,242,76,2,7,2,3,1,2,8,7,2,1,5,1,15,
5639,8/27/2018 10:09,10.1.5.1,10,16,1,7,15,5,2,2,1,1,2,910,693,1,3,1,5,2,1,3,7,1,1,5,1,13,
8673,8/27/2018 10:09,10.1.6.1,6,7,6,12,15,2,2,2,1,2,1,638,106,2,3,2,1,2,1,6,7,1,1,3,2,27,
3699,8/27/2018 10:09,10.1.7.1,15,6,3,9,5,2,2,1,2,2,1,829,357,1,5,4,5,1,1,6,4,1,2,1,2,13,
731,8/27/2018 10:09,10.1.8.1,15,8,4,8,15,1,2,1,1,2,2,763,150,2,4,5,3,1,2,7,1,2,1,5,2,23,
2946,8/27/2018 10:09,10.1.9.1,16,11,6,16,4,4,1,1,1,2,1,737,179,2,8,1,2,2,2,8,1,1,2,1,2,22,
6068,8/27/2018 10:09,10.1.10.1,3,7,12,3,13,2,1,1,1,1,2,7,790,1,4,2,4,1,2,5,3,1,2,5,1,19,
5823,8/27/2018 10:09,10.1.11.1,16,4,5,2,9,1,1,2,2,1,1,368,711,2,6,3,4,2,2,6,6,1,1,3,1,18,
5915,8/27/2018 10:09,10.1.12.1,15,11,11,14,16,5,2,2,2,2,1,191,470,1,9,5,4,1,1,2,1,1,2,5,2,14,
1024,8/27/2018 10:09,10.1.13.1,17,9,13,12,3,1,1,1,1,1,1,843,273,2,2,1,7,1,2,3,2,2,2,5,1,2,
4255,8/27/2018 10:09,10.1.14.1,12,10,7,11,13,3,1,2,2,2,2,481,757,1,6,5,4,2,2,7,7,2,1,5,2,24,
5271,8/27/2018 10:09,10.1.15.1,6,9,11,15,14,1,2,1,2,2,1,883,473,1,6,3,4,2,2,8,3,1,1,3,2,14,
4184,8/27/2018 10:09,10.1.16.1,13,17,13,13,9,3,1,2,1,1,1,462,575,2,5,5,5,2,1,5,4,1,1,4,1,10,
5368,8/27/2018 10:09,10.1.17.1,1,17,7,4,2,4,2,1,2,1,1,999,570,2,9,2,2,1,2,4,3,1,1,4,1,3,
3289,8/27/2018 10:09,10.1.18.1,11,15,5,15,14,1,1,2,2,1,2,587,843,1,3,4,2,2,2,5,2,2,1,3,1,14,
2041,8/27/2018 10:09,10.1.19.1,4,3,3,6,17,5,2,1,2,2,1,676,6,2,9,1,6,1,1,8,2,1,2,3,2,26,
1392,8/27/2018 10:09,10.1.20.1,8,10,10,13,1,3,2,2,1,2,1,774,921,1,6,3,1,2,2,9,6,2,1,3,1,15,
8623,8/27/2018 10:09,10.1.21.1,11,12,12,6,1,1,2,2,1,2,1,99,814,2,7,1,4,2,1,11,2,1,1,5,1,20,
